,,,,,,,,,,
,1362,1,65,65,1,30,1,24,1,0
,1720,1,65,65,1,30,1,70,1,0
,2031,1,65,65,1,31,1,1,1,0
,2343,1,65,65,1,31,1,9,1,0
,2654,1,65,65,1,31,1,3,1,0
,2966,1,65,65,1,31,1,7,1,0
,3277,1,65,65,1,31,1,7,1,0
,3589,1,65,65,1,31,1,10,1,0
,3900,1,65,65,1,31,1,2,1,0
,4212,1,65,65,1,31,1,2,1,0
,4523,1,65,65,1,31,1,4,1,0
,4835,1,65,65,1,31,1,6,1,0
,5146,1,65,65,1,31,1,9,1,0
,5458,1,65,65,1,31,1,4,1,0
,5769,1,65,65,1,31,1,1,1,0
,6081,1,65,65,1,31,1,7,1,0
,6392,1,65,65,1,31,1,10,1,0
,6697,1,65,65,1,31,1,3,1,0
,7075,1,65,65,1,31,1,8,1,0
,7386,1,65,65,1,31,1,8,1,0
,7697,1,65,65,1,31,1,3,1,0
,8009,1,65,65,1,31,1,9,1,0
,8320,1,65,65,1,31,1,1,1,0
,8632,1,65,65,1,31,1,4,1,0
,8943,1,65,65,1,31,1,10,1,0
,9255,1,65,65,1,31,1,3,1,0
,9566,1,65,65,1,31,1,5,1,0
,9878,1,65,65,1,31,1,10,1,0
,10189,1,65,65,1,31,1,2,1,0
,10501,1,65,65,1,31,1,8,1,0
,10812,1,65,65,1,31,1,1,1,0
,11125,1,65,65,1,31,1,5,1,0
,11437,1,65,65,1,31,1,6,1,0
,11749,1,65,65,1,31,1,1,1,0
,12061,1,65,65,1,31,1,5,1,0
,12374,1,65,65,1,31,1,1,1,0
,12685,1,65,65,1,31,1,3,1,0
,12998,1,65,65,1,31,1,5,1,0
,13317,1,65,65,1,31,1,4,1,0
,13628,1,65,65,1,31,1,2,1,0
,13941,1,65,65,1,31,1,1,1,0
,14253,1,65,65,1,31,1,7,1,0
,14566,1,65,65,1,31,1,7,1,0
,14878,1,120,99,1,31,120,70,200,0
,15191,1,120,99,1,31,120,56,200,0
,15503,1,120,99,1,31,120,31,200,0
,15816,1,120,99,1,31,120,65,200,0
,16128,1,120,99,1,31,120,20,200,0
,16441,1,120,99,1,31,120,38,200,0
,16750,1,65,65,5,31,1,34,59,0
,17062,1,65,65,5,31,1,5,59,0
,17367,1,65,65,5,31,1,10,59,0
,17672,1,65,65,5,31,1,37,59,0
,18052,1,65,65,5,31,1,63,59,0
,18363,1,65,65,5,31,1,21,59,0
,18682,1,65,65,5,31,1,10,58,0
,18994,1,65,65,5,31,1,10,58,0
,19305,1,65,65,5,31,1,6,58,0
,19617,1,65,65,5,31,1,6,58,0
,19928,1,65,65,5,30,1,10,58,0
,20240,1,65,65,5,30,1,8,58,0
,20550,1,65,65,5,30,1,10,58,0
,20768,1,65,95,67,30,1,5,70,0
,21079,1,65,95,67,31,1,7,70,0
,21391,1,65,95,67,31,1,10,70,0
,21702,1,65,95,67,31,1,7,70,0
,22014,1,65,95,67,31,1,5,70,0
,22325,1,65,95,67,31,1,4,70,0
,22637,1,65,95,67,31,1,6,70,0
,22948,1,65,95,57,31,1,7,70,0
,23260,1,65,95,57,31,1,10,70,0
,23571,1,65,95,57,31,1,5,70,0
,23890,1,65,95,57,31,1,3,70,0
,24202,1,65,95,57,31,1,6,70,0
,24513,1,65,95,57,31,1,4,70,0
,24779,1,65,95,5,31,1,9,67,0
,25090,1,65,95,5,31,1,2,67,0
,25402,1,65,95,5,31,1,1,67,0
,25713,1,65,95,5,31,1,1,67,0
,26025,1,65,95,5,31,1,8,67,0
,26336,1,65,95,5,31,1,6,67,0
,26648,1,65,95,5,31,1,7,67,0
,26959,1,65,95,5,31,1,4,67,0
,27271,1,65,95,5,31,1,2,67,0
,27582,1,65,95,5,31,1,8,67,0
,27968,1,65,95,5,31,1,3,67,0
,28279,1,65,95,5,31,1,7,67,0
,28591,1,65,95,5,31,1,9,67,0
,28902,1,65,95,5,31,1,3,67,0
,29221,1,65,95,5,31,1,2,67,0
,29534,1,65,95,5,31,1,1,67,0
,29845,1,65,95,5,31,1,1,67,0
,30157,1,65,95,5,31,1,9,67,0
,30468,1,65,95,5,31,1,2,67,0
,30780,1,65,95,5,31,1,2,51,0
,31091,1,65,95,5,31,1,5,51,0
,31404,1,65,95,5,31,1,8,51,0
,31715,1,65,95,5,31,1,5,51,0
,32028,1,65,95,5,31,1,8,51,0
,32339,1,65,95,5,31,1,6,51,0
,32651,1,65,95,5,31,1,9,51,0
,32963,1,65,95,5,31,1,2,51,0
,33275,1,65,95,5,31,1,9,51,0
,33587,1,65,95,5,30,1,8,51,0
,33900,1,65,95,5,30,1,2,51,0
,34212,1,65,95,5,31,1,8,51,0
,34524,1,65,95,5,31,1,4,51,0
,34810,1,65,95,5,31,1,10,52,0
,35121,1,65,95,5,31,1,6,52,0
,35434,1,65,95,5,31,1,1,52,0
,35746,1,65,95,5,31,1,1,52,0
,36059,1,65,95,5,31,1,4,52,0
,36371,1,65,95,5,31,1,3,52,0
,36684,1,65,95,5,31,1,5,52,0
,36996,1,65,95,5,30,1,4,52,0
,37309,1,65,95,5,30,1,8,52,0
,37620,1,65,95,5,31,1,2,52,0
,38009,1,65,95,5,31,1,1,52,0
,38320,1,65,95,5,31,1,1,52,0
,38632,1,65,95,5,31,1,8,52,0
,38943,1,65,95,5,31,1,9,52,0
,39255,1,65,95,5,31,1,7,52,0
,39566,1,65,95,5,31,1,4,52,0
,39878,1,65,95,5,31,1,8,52,0
,40196,1,65,95,5,30,1,9,52,0
